"sentences","reduction","netzero","error","filename"
1783,1,0,0,"APD_13_processed.csv"
1833,0,0,0,"APD_14_processed.csv"
1718,2,0,0,"APD_15_processed.csv"
1783,1,0,0,"APD_16_processed.csv"
2157,0,0,0,"APD_17_processed.csv"
2155,0,0,0,"APD_18_processed.csv"
3332,5,0,4,"APD_19_processed.csv"
1850,3,1,0,"APD_20_processed.csv"
1791,1,1,0,"APD_21_processed.csv"
1868,13,1,0,"APD_22_processed.csv"
1800,1,1,0,"APD_23_processed.csv"
1995,2,0,1,"ARCC_23_processed.csv"
2052,2,0,10,"ARCC_24_processed.csv"
3353,5,0,0,"ARCH_10_processed.csv"
3341,9,0,0,"ARCH_11_processed.csv"
1720,2,0,0,"ARCH_12_processed.csv"
1577,1,0,0,"ARCH_13_processed.csv"
1526,2,0,0,"ARCH_14_processed.csv"
1462,4,0,0,"ARCH_15_processed.csv"
2466,0,0,0,"ATI_10_processed.csv"
2435,2,0,0,"ATI_11_processed.csv"
1448,3,0,0,"ATI_12_processed.csv"
1343,0,0,0,"ATI_13_processed.csv"
1716,0,0,0,"ATI_16_processed.csv"
1737,0,0,4,"ATI_17_processed.csv"
3275,1,0,4,"ATI_20_processed.csv"
1900,0,0,2,"ATI_22_processed.csv"
1766,0,0,0,"BA_10_processed.csv"
1742,2,0,0,"BA_15_processed.csv"
1724,2,0,0,"BA_17_processed.csv"
2078,1,0,0,"BA_21_processed.csv"
1712,1,0,0,"BA_24_processed.csv"
4249,0,0,1,"BIIB_17_processed.csv"
4557,0,0,1,"BIIB_18_processed.csv"
6399,1,0,2,"BIIB_20_processed.csv"
8933,15,15,0,"COP_21_processed.csv"
1781,2,0,0,"CPB_11_processed.csv"
1453,0,0,0,"CPB_16_processed.csv"
1569,0,0,0,"CPB_18_processed.csv"
1309,2,0,0,"CPB_22_processed.csv"
5142,2,0,0,"CVX_14_processed.csv"
1949,0,0,0,"CVX_15_processed.csv"
1894,0,0,3,"CVX_19_processed.csv"
3336,5,0,0,"DE_13_processed.csv"
1004,6,0,9,"DE_16_processed.csv"
2000,4,0,0,"DTE_14_processed.csv"
2117,6,11,0,"DTE_24_processed.csv"
10735,17,0,4,"DUK_13_processed.csv"
5416,2,0,0,"DUK_18_processed.csv"
3753,4,19,8,"DUK_22_processed.csv"
3817,7,22,10,"DUK_24_processed.csv"
3124,1,0,0,"DVN_10_processed.csv"
1255,0,0,0,"DVN_12_processed.csv"
1268,0,0,0,"DVN_14_processed.csv"
1432,0,0,0,"DVN_15_processed.csv"
3809,0,0,0,"DVN_18_processed.csv"
2645,0,0,0,"DVN_19_processed.csv"
1645,2,1,0,"DVN_21_processed.csv"
2086,3,2,0,"DVN_23_processed.csv"
1647,8,0,0,"ED_11_processed.csv"
1646,7,0,0,"ED_13_processed.csv"
2480,6,0,0,"ED_18_processed.csv"
2560,9,2,0,"ED_21_processed.csv"
2663,7,1,0,"ED_22_processed.csv"
2742,12,1,0,"ED_23_processed.csv"
2814,8,0,0,"EIX_10_processed.csv"
2420,7,0,0,"EIX_11_processed.csv"
2878,5,0,0,"EIX_12_processed.csv"
2162,2,0,0,"EIX_13_processed.csv"
2135,1,0,0,"EIX_14_processed.csv"
2090,5,0,0,"EIX_18_processed.csv"
2235,6,1,0,"EIX_19_processed.csv"
4190,8,12,1,"EIX_20_processed.csv"
5947,52,24,1,"EIX_24_processed.csv"
14,0,0,0,"EMN_10_processed.csv"
1610,0,0,0,"EMN_11_processed.csv"
2147,0,0,0,"EMN_13_processed.csv"
1792,0,0,0,"EMN_17_processed.csv"
1626,0,0,0,"EMN_18_processed.csv"
1386,1,0,0,"EMN_23_processed.csv"
1493,0,0,0,"EOG_16_processed.csv"
1604,0,0,0,"EOG_19_processed.csv"
1540,1,6,0,"EOG_24_processed.csv"
6190,2,0,1,"EPD_11_processed.csv"
4471,1,0,0,"EPD_14_processed.csv"
1951,3,0,0,"EQT_17_processed.csv"
2202,0,0,1,"EQT_18_processed.csv"
2227,2,0,8,"EQT_19_processed.csv"
3711,4,0,8,"EQT_20_processed.csv"
2051,2,0,1,"EQT_21_processed.csv"
1954,4,1,4,"EQT_22_processed.csv"
1952,4,1,5,"EQT_23_processed.csv"
