"x"
"AA"
"ABT"
"ADM"
"AEE"
"AEP"
"AES"
"ALB"
"ALE"
"ALEX"
"AMGN"
"ANDE"
"APA"
"APD"
"ASH"
"ATI"
"ATO"
"AVA"
"AWI"
"BA"
"BAK"
"BASF"
"BC"
"BDC"
"BF.B"
"BIIB"
"BKH"
"BMY"
"BP"
"BRK"
"CAG"
"CAT"
"CBT"
"CE"
"CEIX"
"CENX"
"CF"
"CHK"
"CLF"
"CLMT"
"CLW"
"CMP"
"CMS"
"CNP"
"COG"
"COP"
"CRS"
"CTB"
"CVA"
"CVI"
"CVX"
"CWST"
"CX"
"CZR"
"D"
"DAL"
"DAR"
"DCP"
"DD"
"DE"
"DIS"
"DK"
"DOW"
"DTE"
"DUK"
"DVN"
"EAF"
"ED"
"EE"
"EIX"
"EMN"
"EOG"
"ES"
"ETR"
"EXC"
"EXP"
"F"
"FCX"
"FF"
"FMS"
"GE"
"GEF"
"GEVO"
"GIS"
"GLW"
"GPRE"
"GT"
"HAYN"
"HES"
"HII"
"HINDALCO.BO"
"HON"
"HRL"
"HXL"
"IDA"
"IFF"
"IFNNY"
"INTC"
"IP"
"ITW"
"KMB"
"KMI"
"KOP"
"L"
"LEG"
"LMT"
"LNG"
"LNT"
"LXS"
"LXU"
"LYB"
"MCEM"
"MDU"
"MGEE"
"MGM"
"MGPI"
"MHK"
"MLM"
"MMLP"
"MMM"
"MO"
"MOS"
"MPC"
"MPLX"
"MRK"
"MRO"
"MTX"
"MU"
"N/A (Acquired)"
"NEE"
"NEU"
"NI"
"NSANY"
"NTR"
"NUE"
"NWE"
"OC"
"OGE"
"OI"
"OLN"
"OTTR"
"OXY"
"PCG"
"PEG"
"PEP"
"PFE"
"PG"
"PKG"
"PNM"
"PNW"
"POR"
"PPG"
"PPL"
"PXD"
"QCOM"
"RAI"
"REX"
"SCHN"
"SCL"
"SD"
"SEB"
"SJM"
"SNY"
"SON"
"SPR"
"SRE"
"STLD"
"SXC"
"SXT"
"TRGP"
"TROX"
"TSN"
"TXN"
"TXT"
"UAL"
"UFS"
"UGI"
"USAP"
"VLO"
"WCN"
"WLK"
"WLL"
"WM"
"WMB"
"WRK"
"WY"
"X"
"XEL"
"XOM"
