Ticker
AES
ANDE
BA
BTU
BX
CC
CG
CKH
DIS
DOW
DPL
EDE
EIX
EQNR
GRA
GS
GT
HCC
KHC
MCEM
MOS
MUR
MUSA
NAV
NEE
NEM
NEU
NFG
NGG
NGL
NI
NJR
NOC
NOV
NP
NRP
NS
NSC
NSRGY
NUE
NWE
NX
OA
OAS
OC
OCI
OCI.AS
OCIP
ODC
OEC
OGE
OGS
OI
OKE
OLN
ON
OTTR
OVV
OXY
PAA
PAGP
PARR
PBA
PBF
PBR
PCG
PCP
PDCE
PE
PEG
PEIX
PEP
PFE
PG
PHG
PHH
PKG
PKOH
PNM
PNW
POL
POM
POR
POST
POT
PPG
PPL
PSEC
PSX
PVAC
PX
PXD
QCOM
QEP
QRVO
RAI
REI
REX
RHHBY
RIG
RIO
RXN
SAFM
SAPIF
SBOW
SCG
SCHN
SCL
SCS
SD
SDIG
SE
SEB
SEP
SHEL
SHLO
SHLOQ
SKYT
SLCA
SLVM
SM
SMLP
SNMP
SNY
SO
SON
SPB
SPR
SR
SRE
SSL
STLD
STR
SU
SUM
SUN
SUP
SWKS
SWN
SWX
SXC
SXT
TAC
TALO
TCP
TECK
TEP
TG
TGI
THS
TKR
TLLP
TLN
TLP
TMO
TMST
TREC
TRGP
TRN
TROX
TRP
TS
TSE
TSLA
TSN
TTI
TWI
TXN
TXT
UAL
UGI
UNS
UNT
UPL
USAP
UTX
VALE
VKSC
VLO
VMC
VNTR
VRS
VSH
VSM
VST
VTNR
VTRS
VVC
WAB
WCN
WEC
WES
WFC
WFG
WFTBF
WGL
WHR
WLK
WLL
WLT
WM
WMB
WNR
WOR
WPX
WPZ
WR
WRES
WRK
WTI
WY
X
XEL
XOM
XRX
