"","Company_Year","Reduction_Sentences","ticker","year"
"99","Copy of Copy of ALTO_15_processed.csv","4","ALTO","2015"
"100","Copy of Copy of ALTO_16_processed.csv","0","ALTO","2016"
"101","Copy of Copy of AM_20_processed.csv","3","AM","2020"
"102","Copy of Copy of AM_21_processed.csv","0","AM","2021"
"103","Copy of Copy of AMGN_10_processed.csv","0","AMGN","2010"
"104","Copy of Copy of AMGN_11_processed.csv","0","AMGN","2011"
"105","Copy of Copy of AMGN_13_processed.csv","0","AMGN","2013"
"106","Copy of Copy of AMPY_18_processed.csv","2","AMPY","2018"
"107","Copy of Copy of AMPY_19_processed.csv","4","AMPY","2019"
"108","Copy of Copy of AMPY_22_processed.csv","10","AMPY","2022"
"109","Copy of Copy of AMPY_23_processed.csv","24","AMPY","2023"
"110","Copy of Copy of AMPY_24_processed.csv","33","AMPY","2024"
"111","Copy of Copy of AMR_19_processed.csv","0","AMR","2019"
"112","Copy of Copy of AMR_20_processed.csv","2","AMR","2020"
"113","Copy of Copy of AMR_21_processed.csv","0","AMR","2021"
"114","Copy of Copy of AMR_22_processed.csv","0","AMR","2022"
"115","Copy of Copy of AMR_23_processed.csv","2","AMR","2023"
"116","Copy of Copy of AMR_24_processed.csv","4","AMR","2024"
"117","Copy of Copy of AMTX_18_processed.csv","1","AMTX","2018"
"118","Copy of Copy of AMTX_19_processed.csv","2","AMTX","2019"
"119","Copy of Copy of AMTX_20_processed.csv","2","AMTX","2020"
"120","Copy of Copy of AMTX_21_processed.csv","2","AMTX","2021"
"121","Copy of Copy of AMTX_22_processed.csv","0","AMTX","2022"
"122","Copy of Copy of AMTX_23_processed.csv","0","AMTX","2023"
"123","Copy of Copy of AMTX_24_processed.csv","2","AMTX","2024"
